Respondent_ID,Survey_Date,Q1_Age_Group,Q2_Gender,Q3_City,City_Tier,Q4_Income_Band,Q5_Education,Q6_Occupation,Q7_Marital_Status,Q8_Skin_Type,Q9_Skin_Concerns,Q10_Skin_Tone,Q11_Medical_Conditions,Q12_Past_Skin_Failure,Q13_Outdoor_Hrs,Q14_AC_Exposure,Q15_Stress_Level,Q16_Sleep_Hours,Q17_Exercise_Freq,Q18_Food_Type,Q19_Spice_Level,Q20a_Confidence,Q20b_Trendsetter,Q20c_BrandLoyal,Q20d_HealthInvest,Q20e_ChemWorry,Q21_Shopping_Personality,Q22_Trust_Source,Q23_Ingredient_Literacy,Q24_Eco_Importance,Q25_Daily_Products,Q26_Products_Used,Q27_Formulation_Pref,Q28_Traditional_Wear,Q29_Saree_Colors,Q30_Current_Spend,Q31_WTP_Band,Q31_WTP_INR,Q32_Purchase_Channel,Q33_AI_Comfort,Q34_Existing_Subs,Q35_Discovery_Channels,Q36_Satisfaction,Q37_Intent,Q37_Intent_Binary,Age_Numeric,Income_Numeric,Psychographic_Score,Wellness_Index,Engagement_Score
RESP1000,2024-03-03,23-28,Female,Ahmedabad,Tier-2,75K-1.2L,Postgraduate,Salaried-Private,Married-With Children,Oily,Acne/Pimples|Oiliness/Enlarged Pores,Very Fair,Rosacea,No-Lucky So Far,1-2 hrs,>7 hrs,2.1,7-8 hrs,1-2x/week,Purely Vegetarian,3.7,2.4,2.8,3.2,4.2,4.3,Social Follower,Close Friend/Family,Understand most ingredients,3.3,3-4 Products,Toner/Mist|Vitamin C Serum|Niacinamide Serum|Ayurvedic/Herbal Products|Under-eye Cream|Sheet Mask/Clay Mask|Moisturiser/Day Cream|Face Wash/Cleanser,Science-backed/Clinical,Rarely/Never,Pastels/Muted|Black/Charcoal|Purple/Violet,Rs301-700,1500-2499,2000.0,Nykaa/Purplle/Tira|Amazon/Flipkart|Social Commerce,3.4,No-Open to It,Online Search/Blogs,3.6,Probably Yes - Trial First,Interested,25,97000,3.13,2.97,3.73
RESP1001,2024-08-19,46+,Female,Surat,Tier-2,20K-40K,Postgraduate,Salaried-Private,Single,Oily,No Concern-Maintenance,Very Fair,None,No-Avoid New Products,>5 hrs,1-3 hrs,4.6,7-8 hrs,3-4x/week,Non-Veg Regular,4.0,3.9,2.3,3.3,4.7,3.6,Deal Seeker,Dermatologist/Skin Specialist,Read but understand little,3.7,3-4 Products,Sunscreen/SPF|Moisturiser/Day Cream|Niacinamide Serum|Toner/Mist|Face Wash/Cleanser,Mix of Both,Few Times/Week,White/Cream|Green/Teal,Rs301-700,Lt300,150.0,Nykaa/Purplle/Tira|Local Pharmacy|Supermarket,1.9,No-Open to It,Instagram/Reels|Dermatologist/Doctor|In-store Trial,2.4,Probably Yes - Trial First,Interested,52,30000,3.63,2.47,3.0
RESP1002,2024-10-16,36-45,Male,Indore,Tier-2,Above 1.2L,High School or Below,Student,Single,Combination,Acne/Pimples,Wheatish/Medium,None,Yes-Once or Twice,<1 hr,>7 hrs,4.7,7-8 hrs,1-2x/week,Non-Veg Occasional,3.8,4.3,3.0,3.4,4.3,3.0,Social Follower,Close Friend/Family,Understand most ingredients,1.9,3-4 Products,Moisturiser/Day Cream|Vitamin C Serum|Under-eye Cream|Toner/Mist|Collagen/Biotin Supplements|Sunscreen/SPF|Niacinamide Serum|Face Wash/Cleanser,No Preference,Festivals/Occasions Only,Dont Wear Ethnic,Rs301-700,1000-1499,1250.0,Local Pharmacy,2.1,Yes-One Sub,Dermatologist/Doctor,2.8,Definitely Yes,Interested,40,150000,3.87,2.1,3.07
RESP1003,2024-06-08,29-35,Female,Delhi/Ncr,Tier-1,40K-75K,Doctoral/Professional,Salaried-Government,Married-With Children,Dry,Dark Circles/Puffy Eyes|Redness/Irritation,Very Fair,Eczema/Psoriasis,No-Lucky So Far,<1 hr,4-7 hrs,2.9,7-8 hrs,1-2x/week,Vegetarian+Eggs,3.1,4.1,2.7,3.0,4.4,3.0,Social Follower,Doctor/GP,Know a few key ingredients,4.3,5-7 Products,Hyaluronic Acid/Hydration|Night Cream/Overnight Mask|Moisturiser/Day Cream|Sunscreen/SPF|Face Wash/Cleanser,Mix of Both,Festivals/Occasions Only,Purple/Violet|Black/Charcoal|Yellow/Gold,Rs301-700,1000-1499,1250.0,Nykaa/Purplle/Tira|Supermarket,3.2,Yes-One Sub,Instagram/Reels|Online Search/Blogs,4.2,Definitely Yes,Interested,32,57000,3.73,2.7,3.93
RESP1004,2024-05-15,18-22,Female,Delhi/Ncr,Tier-1,20K-40K,Postgraduate,Salaried-Private,Married-No Children,Normal,Dark Circles/Puffy Eyes|No Concern-Maintenance,Very Dark,None,Yes-Once or Twice,3-5 hrs,4-7 hrs,2.8,7-8 hrs,3-4x/week,Purely Vegetarian,3.2,3.7,3.3,2.5,3.2,3.2,Research-First,Doctor/GP,Understand most ingredients,2.7,3-4 Products,Sheet Mask/Clay Mask|Sunscreen/SPF|Face Wash/Cleanser|Ayurvedic/Herbal Products|Moisturiser/Day Cream,Natural/Ayurvedic Only,Festivals/Occasions Only,Pink/Rose|Blue/Navy,Rs0,1500-2499,2000.0,Amazon/Flipkart|Brand Website D2C,3.0,No-Open to It,Instagram/Reels|YouTube Reviews|Influencer Reco,1.9,Undecided,Not Interested,20,30000,3.4,3.07,2.7
RESP1005,2024-01-23,18-22,Male,Bengaluru,Tier-1,Prefer Not to Say,Undergraduate,Homemaker,Divorced/Separated/Widowed,Sensitive,Dullness/Uneven Tone,Fair,None,Yes-Multiple Times,<1 hr,1-3 hrs,3.7,5-6 hrs,3-4x/week,Purely Vegetarian,3.9,2.6,2.3,3.3,4.0,3.1,Social Follower,Dermatologist/Skin Specialist,Understand most ingredients,3.2,1-2 Products,Moisturiser/Day Cream|Ayurvedic/Herbal Products|Hyaluronic Acid/Hydration|Face Wash/Cleanser|Sunscreen/SPF,Natural/Ayurvedic Only,Festivals/Occasions Only,Dont Wear Ethnic,Rs701-1200,1500-2499,2000.0,Nykaa/Purplle/Tira|Local Pharmacy,2.1,No-Open to It,Instagram/Reels|YouTube Reviews|Online Search/Blogs|Influencer Reco,2.8,Probably Yes - Trial First,Interested,20,45000,2.97,2.43,2.97
RESP1006,2024-10-20,18-22,Female,Hyderabad,Tier-1,40K-75K,Postgraduate,Student,Married-No Children,Dry,No Concern-Maintenance,Wheatish/Medium,None,Yes-Once or Twice,1-2 hrs,1-3 hrs,3.6,5-6 hrs,Never,Non-Veg Regular,3.9,3.6,1.7,3.0,3.6,2.9,Loyal Buyer,Social Media Influencer,Know a few key ingredients,2.6,3-4 Products,Ayurvedic/Herbal Products|Moisturiser/Day Cream|Night Cream/Overnight Mask|Sheet Mask/Clay Mask|Sunscreen/SPF|Hyaluronic Acid/Hydration|Face Wash/Cleanser,Science-backed/Clinical,Few Times/Week,White/Cream|Blue/Navy,Rs701-1200,600-999,800.0,Nykaa/Purplle/Tira|Supermarket,4.0,No-Open to It,Instagram/Reels|YouTube Reviews|In-store Trial,3.4,Probably Yes - Trial First,Interested,20,57000,2.97,1.8,3.67
RESP1007,2024-08-22,36-45,Male,Chennai,Tier-1,Below 20K,Undergraduate,Self-Employed/Business,Married-With Children,Combination,Acne/Pimples|Sun Damage/Tanning,Very Fair,Eczema/Psoriasis,Yes-Once or Twice,>5 hrs,Rarely/Never,2.9,5-6 hrs,3-4x/week,Non-Veg Regular,4.3,4.1,2.1,4.1,3.7,3.0,Loyal Buyer,Dermatologist/Skin Specialist,Know a few key ingredients,2.8,3-4 Products,Toner/Mist|Sunscreen/SPF|Niacinamide Serum|Face Wash/Cleanser|Ayurvedic/Herbal Products|Moisturiser/Day Cream,Mix of Both,Festivals/Occasions Only,Dont Wear Ethnic,Rs1201-2500,1000-1499,1250.0,Nykaa/Purplle/Tira,1.0,No-Open to It,Online Search/Blogs,3.1,Probably Yes - Trial First,Interested,40,15000,3.3,2.7,2.6
RESP1008,2024-08-14,29-35,Female,Lucknow,Tier-2,75K-1.2L,Postgraduate,Self-Employed/Business,Married-No Children,Dry,No Concern-Maintenance,Wheatish/Medium,None,No-Lucky So Far,1-2 hrs,>7 hrs,2.0,7-8 hrs,3-4x/week,Non-Veg Occasional,3.7,2.9,4.2,4.2,4.4,4.6,Loyal Buyer,Self Research Only,Read but understand little,3.3,3-4 Products,Face Wash/Cleanser|Under-eye Cream|Night Cream/Overnight Mask|Sunscreen/SPF|Moisturiser/Day Cream|Hyaluronic Acid/Hydration|Vitamin C Serum,Mix of Both,Rarely/Never,Purple/Violet|Pastels/Muted,Rs701-1200,Would Not Subscribe,0.0,Local Pharmacy,3.2,Yes-Multiple Subs,Online Search/Blogs,2.9,Definitely Yes,Interested,32,97000,3.83,3.33,3.5
RESP1009,2024-01-22,29-35,Female,Mumbai,Tier-1,20K-40K,High School or Below,Self-Employed/Business,Divorced/Separated/Widowed,Sensitive,Acne/Pimples,Wheatish/Medium,Thyroid Disorder|Chronic Acne (Diagnosed),No-Lucky So Far,3-5 hrs,1-3 hrs,3.4,>8 hrs,3-4x/week,Vegetarian+Eggs,3.7,3.5,3.8,2.0,4.5,3.5,Loyal Buyer,Dermatologist/Skin Specialist,Know a few key ingredients,3.8,1-2 Products,Face Wash/Cleanser|Hyaluronic Acid/Hydration|Moisturiser/Day Cream|Sunscreen/SPF,Mix of Both,Festivals/Occasions Only,Green/Teal|Pink/Rose,Rs701-1200,300-599,450.0,Nykaa/Purplle/Tira|Amazon/Flipkart|Brand Website D2C|Dont Buy Skincare,1.4,No-Open to It,Instagram/Reels|YouTube Reviews|Friends/Family,4.4,Probably Yes - Trial First,Interested,32,30000,3.93,3.2,3.43
